Description,Code
Nursery Production (Under Cover),0111
Nursery Production (Outdoors),0112
Turf Growing,0113
Floriculture Production (Under Cover),0114
Floriculture Production (Outdoors),0115
Mushroom Growing,0121
Vegetable Growing (Under Cover),0122
Vegetable Growing (Outdoors),0123
Grape Growing,0131
Kiwifruit Growing,0132
Berry Fruit Growing,0133
Apple and Pear Growing,0134
Stone Fruit Growing,0135
Citrus Fruit Growing,0136
Olive Growing,0137
Other Fruit and Tree Nut Growing,0139
Sheep Farming (Specialised),0141
Beef Cattle Farming (Specialised),0142
Beef Cattle Feedlots (Specialised),0143
Sheep-Beef Cattle Farming,0144
Grain-Sheep or Grain-Beef Cattle Farming,0145
Rice Growing,0146
Other Grain Growing,0149
Sugar Cane Growing,0151
Cotton Growing,0152
Other Crop Growing n.e.c.,0159
Dairy Cattle Farming,0160
Poultry Farming (Meat),0171
Poultry Farming (Eggs),0172
Deer Farming,0180
Horse Farming,0191
Pig Farming,0192
Beekeeping,0193
Other Livestock Farming n.e.c.,0199
Offshore Longline and Rack Aquaculture,0201
Offshore Caged Aquaculture,0202
Onshore Aquaculture,0203
Forestry,0301
Logging,0302
Rock Lobster and Crab Potting,0411
Prawn Fishing,0412
Line Fishing,0413
"Fish Trawling, Seining and Netting",0414
Other Fishing,0419
Hunting and Trapping,0420
Forestry Support Services,0510
Cotton Ginning,0521
Shearing Services,0522
Other Agriculture and Fishing Support Services,0529
Coal Mining,0600
Oil and Gas Extraction,0700
Iron Ore Mining,0801
Bauxite Mining,0802
Copper Ore Mining,0803
Gold Ore Mining,0804
Mineral Sand Mining,0805
Nickel Ore Mining,0806
Silver-Lead-Zinc Ore Mining,0807
Other Metal Ore Mining,0809
Gravel and Sand Quarrying,0911
Other Construction Material Mining,0919
Other Non-Metallic Mineral Mining and Quarrying,0990
Petroleum Exploration,1011
Mineral Exploration,1012
Other Mining Support Services,1090
Meat Processing,1111
Poultry Processing,1112
Cured Meat and Smallgoods Manufacturing,1113
Seafood Processing,1120
Milk and Cream Processing,1131
Ice Cream Manufacturing,1132
Cheese and Other Dairy Product Manufacturing,1133
Fruit and Vegetable Processing,1140
Oil and Fat Manufacturing,1150
Grain Mill Product Manufacturing,1161
"Cereal, Pasta and Baking Mix Manufacturing",1162
Bread Manufacturing (Factory based),1171
Cake and Pastry Manufacturing (Factory based),1172
Biscuit Manufacturing (Factory based),1173
Bakery Product Manufacturing (Non-factory based),1174
Sugar Manufacturing,1181
Confectionery Manufacturing,1182
"Potato, Corn and Other Crisp Manufacturing",1191
Prepared Animal and Bird Feed Manufacturing,1192
Other Food Product Manufacturing n.e.c.,1199
"Soft Drink, Cordial and Syrup Manufacturing",1211
Beer Manufacturing,1212
Spirit Manufacturing,1213
Wine and Other Alcoholic Beverage Manufacturing,1214
Cigarette and Tobacco Product Manufacturing,1220
Wool Scouring,1311
Natural Textile Manufacturing,1312
Synthetic Textile Manufacturing,1313
"Leather Tanning, Fur Dressing and Leather Product Manufacturing",1320
Textile Floor Covering Manufacturing,1331
