BIC_CODE,BIC_DESC
A011110,Ornamental plant growing
A011120,Seedling growing nec
A011210,Fruit tree nursery operation
A011220,"Nursery (flower, shrubs, ornamental trees) operation"
A011230,Vine stock nursery operation
A011310,Turf growing
A011410,Flower growing
A011420,Seed growing - flower
A012110,Mushroom growing
A012210,Herb growing
A012220,Seed growing - vegetable
A012230,Tomato growing
A012240,Vegetable seed growing
A012310,Melon growing
A012320,Onion growing
A012330,Potato growing
A012340,"Vegetable growing - except dry field peas, beans and soybeans"
A013110,Grape growing
A013120,Vineyard operation
A013210,Kiwifruit growing
A013310,Berryfruit growing
A013320,Strawberry growing
A013410,Apple growing
A013420,Pear growing
A013430,Quince growing
A013510,Stone fruit growing
A013610,Citrus fruit growing
A013710,Olive growing
A013910,Almond growing
A013920,Avocado growing
A013930,Fig growing
A013935,Fruit growing nec
A013940,Macadamia nut growing
A013950,Mango growing
A013960,Passionfruit growing
A013970,Pecan nut growing
A013975,Tree nut growing nec
A013980,Walnut growing
A014110,Sheep farming
A014120,Wool growing
A014210,Agistment service - other than horses
A014220,Beef cattle farming
A014230,Stud beef cattle breeding or farming
A014410,Beef cattle and sheep farming
A014420,Sheep and beef cattle farming
A014510,Beef cattle farming and cereal grain growing
A014520,Sheep farming and cereal grain growing
A014910,Cereal grain growing
A014920,"Grain, cereal growing"
A014930,Maize growing
A014940,Oat growing
A014950,Oilseed growing
A014960,Safflower growing
A014970,Sorghum growing - except forage sorghum
A014980,Soybean growing
A014985,Sunflower growing
A014990,Wheat growing
A015905,Crop growing nec
A015910,Drug plant growing
A015920,Fodder growing
A015930,Ginger growing
A015940,Hay growing
A015950,Hop growing
A015960,Lavender growing
A015970,Lucerne growing
A015980,Seed growing nec
A015985,Tobacco farming
A015990,Vegetable growing - for fodder
A016010,Dairy cattle farming
A016020,Milk production - dairy cattle
A016030,Stud dairy cattle breeding or farming
A017110,Chicken farming - for meat
A017120,Duck farming
A017130,Game bird farming
A017140,Goose farming
