BIC_Code,BIC_Description,ANZSIC_Code,ANZSIC_Description
A011110,Ornamental plant growing,111,Nursery Production (Under Cover)
A011120,Seedling growing nec,111,Nursery Production (Under Cover)
A011210,Fruit tree nursery operation,112,Nursery Production (Outdoors)
A011220,"Nursery (flower, shrubs, ornamental trees) operation",112,Nursery Production (Outdoors)
A011230,Vine stock nursery operation,112,Nursery Production (Outdoors)
A011310,Turf growing,113,Turf Growing
A011410,Flower growing,114,Floriculture Production (Under Cover)
A011420,Seed growing - flower,114,Floriculture Production (Under Cover)
A012110,Mushroom growing,121,Mushroom Growing
A012210,Herb growing,122,Vegetable Growing (Under Cover)
A012220,Seed growing - vegetable,122,Vegetable Growing (Under Cover)
A012230,Tomato growing,122,Vegetable Growing (Under Cover)
A012240,Vegetable seed growing,122,Vegetable Growing (Under Cover)
A012310,Melon growing,123,Vegetable Growing (Outdoors)
A012320,Onion growing,123,Vegetable Growing (Outdoors)
A012330,Potato growing,123,Vegetable Growing (Outdoors)
A012340,"Vegetable growing - except dry field peas, beans and soybeans",123,Vegetable Growing (Outdoors)
A013110,Grape growing,131,Grape Growing
A013120,Vineyard operation,131,Grape Growing
A013210,Kiwifruit growing,132,Kiwifruit Growing
A013310,Berryfruit growing,133,Berry Fruit Growing
A013320,Strawberry growing,133,Berry Fruit Growing
A013410,Apple growing,134,Apple and Pear Growing
A013420,Pear growing,134,Apple and Pear Growing
A013430,Quince growing,134,Apple and Pear Growing
A013510,Stone fruit growing,135,Stone Fruit Growing
A013610,Citrus fruit growing,136,Citrus Fruit Growing
A013710,Olive growing,137,Olive Growing
A013910,Almond growing,139,Other Fruit and Tree Nut Growing
A013920,Avocado growing,139,Other Fruit and Tree Nut Growing
A013930,Fig growing,139,Other Fruit and Tree Nut Growing
A013935,Fruit growing nec,139,Other Fruit and Tree Nut Growing
A013940,Macadamia nut growing,139,Other Fruit and Tree Nut Growing
A013950,Mango growing,139,Other Fruit and Tree Nut Growing
A013960,Passionfruit growing,139,Other Fruit and Tree Nut Growing
A013970,Pecan nut growing,139,Other Fruit and Tree Nut Growing
A013975,Tree nut growing nec,139,Other Fruit and Tree Nut Growing
A013980,Walnut growing,139,Other Fruit and Tree Nut Growing
A014110,Sheep farming,141,Sheep Farming (Specialised)
A014120,Wool growing,141,Sheep Farming (Specialised)
A014210,Agistment service - other than horses,142,Beef Cattle Farming (Specialised)
A014220,Beef cattle farming,142,Beef Cattle Farming (Specialised)
A014230,Stud beef cattle breeding or farming,142,Beef Cattle Farming (Specialised)
A014410,Beef cattle and sheep farming,144,Sheep-Beef Cattle Farming
A014420,Sheep and beef cattle farming,144,Sheep-Beef Cattle Farming
A014510,Beef cattle farming and cereal grain growing,145,Grain-Sheep or Grain-Beef Cattle Farming
A014520,Sheep farming and cereal grain growing,145,Grain-Sheep or Grain-Beef Cattle Farming
A014910,Cereal grain growing,149,Other Grain Growing
A014920,"Grain, cereal growing",149,Other Grain Growing
A014930,Maize growing,149,Other Grain Growing
A014940,Oat growing,149,Other Grain Growing
A014950,Oilseed growing,149,Other Grain Growing
A014960,Safflower growing,149,Other Grain Growing
A014970,Sorghum growing - except forage sorghum,149,Other Grain Growing
A014980,Soybean growing,149,Other Grain Growing
A014985,Sunflower growing,149,Other Grain Growing
A014990,Wheat growing,149,Other Grain Growing
A015905,Crop growing nec,159,Other Crop Growing n.e.c.
A015910,Drug plant growing,159,Other Crop Growing n.e.c.
A015920,Fodder growing,159,Other Crop Growing n.e.c.
A015930,Ginger growing,159,Other Crop Growing n.e.c.
A015940,Hay growing,159,Other Crop Growing n.e.c.
A015950,Hop growing,159,Other Crop Growing n.e.c.
A015960,Lavender growing,159,Other Crop Growing n.e.c.
A015970,Lucerne growing,159,Other Crop Growing n.e.c.
A015980,Seed growing nec,159,Other Crop Growing n.e.c.
A015985,Tobacco farming,159,Other Crop Growing n.e.c.
A015990,Vegetable growing - for fodder,159,Other Crop Growing n.e.c.
A016010,Dairy cattle farming,160,Dairy Cattle Farming
A016020,Milk production - dairy cattle,160,Dairy Cattle Farming
A016030,Stud dairy cattle breeding or farming,160,Dairy Cattle Farming
A017110,Chicken farming - for meat,171,Poultry Farming (Meat)
A017120,Duck farming,171,Poultry Farming (Meat)
A017130,Game bird farming,171,Poultry Farming (Meat)
A017140,Goose farming,171,Poultry Farming (Meat)
A017150,Poultry farming - for meat,171,Poultry Farming (Meat)
A017160,Poultry hatchery operation - meat breeds,171,Poultry Farming (Meat)
A017170,Turkey farming,171,Poultry Farming (Meat)
A017210,Egg farm operation,172,Poultry Farming (Eggs)
A017220,Poultry farming - for eggs,172,Poultry Farming (Eggs)
A017230,Poultry hatchery operation - egg breeds,172,Poultry Farming (Eggs)
A018010,"Deer breeding, farming",180,Deer Farming
A019110,Agistment service - horses,191,Horse Farming
A019120,Horse breeding,191,Horse Farming
A019125,Horse farming nec,191,Horse Farming
A019130,Stud farm operation - horses,191,Horse Farming
A019210,Pig farming,192,Pig Farming
A019310,Apiarist,193,Beekeeping
A019320,Beekeeping,193,Beekeeping
A019910,Bird breeding - except poultry or game birds,199,Other Livestock Farming n.e.c.
A019920,Butterfly breeding,199,Other Livestock Farming n.e.c.
A019930,Cat breeding,199,Other Livestock Farming n.e.c.
A019940,Dog breeding,199,Other Livestock Farming n.e.c.
A019950,Fur skin animal farming,199,Other Livestock Farming n.e.c.
A019960,Goat farming,199,Other Livestock Farming n.e.c.
A019970,Livestock raising nec,199,Other Livestock Farming n.e.c.
A019975,Mixed livestock farming nec,199,Other Livestock Farming n.e.c.
A019980,Pet breeding,199,Other Livestock Farming n.e.c.
A019990,Rabbit farming,199,Other Livestock Farming n.e.c.
A020110,Aquaculture (offshore),201,Offshore Longline and Rack Aquaculture
A020120,Mussel farming,201,Offshore Longline and Rack Aquaculture
A020130,Oyster farming,201,Offshore Longline and Rack Aquaculture
A020210,Salmon farming (offshore),202,Offshore Caged Aquaculture
A020310,Crayfish breeding and farming,203,Onshore Aquaculture
